name,type,level,seq,parentName
옥천군,REGION,LV3,5,충북
영동군,REGION,LV3,6,충북
증평군,REGION,LV3,7,충북
진천군,REGION,LV3,8,충북
괴산군,REGION,LV3,9,충북
음성군,REGION,LV3,10,충북
단양군,REGION,LV3,11,충북

청주시,REGION,LV3,1,충북
충주시,REGION,LV3,2,충북
제천시,REGION,LV3,3,충북
보은군,REGION,LV3,4,충북
옥천군,REGION,LV3,5,충북
영동군,REGION,LV3,6,충북
증평군,REGION,LV3,7,충북
진천군,REGION,LV3,8,충북
괴산군,REGION,LV3,9,충북
음성군,REGION,LV3,10,충북
단양군,REGION,LV3,11,충북

천안시,REGION,LV3,1,충남
공주시,REGION,LV3,2,충남
보령시,REGION,LV3,3,충남
아산시,REGION,LV3,4,충남
서산시,REGION,LV3,5,충남
논산시,REGION,LV3,6,충남
계룡시,REGION,LV3,7,충남
당진시,REGION,LV3,8,충남
금산군,REGION,LV3,9,충남
부여군,REGION,LV3,10,충남
서천군,REGION,LV3,11,충남
청양군,REGION,LV3,12,충남
홍성군,REGION,LV3,13,충남
예산군,REGION,LV3,14,충남
태안군,REGION,LV3,15,충남

전주시,REGION,LV3,1,전북
군산시,REGION,LV3,2,전북
익산시,REGION,LV3,3,전북
정읍시,REGION,LV3,4,전북
남원시,REGION,LV3,5,전북
김제시,REGION,LV3,6,전북
완주군,REGION,LV3,7,전북
진안군,REGION,LV3,8,전북
무주군,REGION,LV3,9,전북
장수군,REGION,LV3,10,전북
임실군,REGION,LV3,11,전북
순창군,REGION,LV3,12,전북
고창군,REGION,LV3,13,전북
부안군,REGION,LV3,14,전북

목포시,REGION,LV3,1,전남
여수시,REGION,LV3,2,전남
순천시,REGION,LV3,3,전남
나주시,REGION,LV3,4,전남
광양시,REGION,LV3,5,전남
담양군,REGION,LV3,6,전남
곡성군,REGION,LV3,7,전남
구례군,REGION,LV3,8,전남
고흥군,REGION,LV3,9,전남
보성군,REGION,LV3,10,전남
화순군,REGION,LV3,11,전남
장흥군,REGION,LV3,12,전남
강진군,REGION,LV3,13,전남
해남군,REGION,LV3,14,전남
영암군,REGION,LV3,15,전남
무안군,REGION,LV3,16,전남
함평군,REGION,LV3,17,전남
영광군,REGION,LV3,18,전남
장성군,REGION,LV3,19,전남
완도군,REGION,LV3,20,전남
진도군,REGION,LV3,21,전남
신안군,REGION,LV3,22,전남

포항시,REGION,LV3,1,경북
경주시,REGION,LV3,2,경북
김천시,REGION,LV3,3,경북
안동시,REGION,LV3,4,경북
구미시,REGION,LV3,5,경북
영주시,REGION,LV3,6,경북
영천시,REGION,LV3,7,경북
상주시,REGION,LV3,8,경북
문경시,REGION,LV3,9,경북
경산시,REGION,LV3,10,경북
의성군,REGION,LV3,11,경북
청송군,REGION,LV3,12,경북
영양군,REGION,LV3,13,경북
영덕군,REGION,LV3,14,경북
청도군,REGION,LV3,15,경북
고령군,REGION,LV3,16,경북
성주군,REGION,LV3,17,경북
칠곡군,REGION,LV3,18,경북
예천군,REGION,LV3,19,경북
봉화군,REGION,LV3,20,경북
울진군,REGION,LV3,21,경북
울릉군,REGION,LV3,22,경북

창원시,REGION,LV3,1,경남
진주시,REGION,LV3,2,경남
통영시,REGION,LV3,3,경남
사천시,REGION,LV3,4,경남
김해시,REGION,LV3,5,경남
밀양시,REGION,LV3,6,경남
거제시,REGION,LV3,7,경남
양산시,REGION,LV3,8,경남
의령군,REGION,LV3,9,경남
함안군,REGION,LV3,10,경남
창녕군,REGION,LV3,11,경남
고성군,REGION,LV3,12,경남
남해군,REGION,LV3,13,경남
하동군,REGION,LV3,14,경남
산청군,REGION,LV3,15,경남
함양군,REGION,LV3,16,경남
거창군,REGION,LV3,17,경남
합천군,REGION,LV3,18,경남

제주시,REGION,LV3,1,제주
서귀포시,REGION,LV3,2,제주


신사동,REGION,LV4,1,강남구
논현동,REGION,LV4,2,강남구
압구정동,REGION,LV4,3,강남구
청담동,REGION,LV4,4,강남구
삼성동,REGION,LV4,5,강남구
대치동,REGION,LV4,6,강남구
역삼동,REGION,LV4,7,강남구
도곡동,REGION,LV4,8,강남구
개포동,REGION,LV4,9,강남구
일원동,REGION,LV4,10,강남구
수서동,REGION,LV4,11,강남구
세곡동,REGION,LV4,12,강남구
자곡동,REGION,LV4,13,강남구
율현동,REGION,LV4,14,강남구








댓글,FORUM,COMMENT,1,커뮤니티
대댓글,FORUM,RE_COMMENT,2,댓글

